pid,blk,brcv,type
390089,BW-2200,MP-1000,PUNT
390586,CC-0200,AR-1400,FG
393394,RM-2400,NC-0200,FG
393965,JJ-3700,WB-0700,FG
395409,SR-1000,,FG
395539,SR-1000,,XP
396548,RB-0700,,XP
397542,KG-0900,,FG
398300,JR-0300,,FG
399003,CC-0200,,FG
399791,AO-0200,DJ-2600,FG
400481,FR-0100,,XP
400819,DJ-3000,QB-0100,FG
402662,JH-3600,JH-3600,PUNT
404567,II-0100,,XP
405693,MG-1800,,XP
405942,FR-0100,,XP
406489,DR-2800,AR-1400,FG
407292,GH-0700,RB-0700,PUNT
408655,CD-0700,,FG
408728,JD-1600,,XP
410803,SR-1000,,XP
412809,MT-0600,,XP
412887,ES-1100,BS-2400,PUNT
413276,AD-1400,,FG
414037,CL-1900,CL-1900,PUNT
419368,CT-0600,RB-5000,FG
421017,FR-0100,,XP
421222,RM-2400,,XP
422387,CD-0700,KB-1100,FG
423616,RE-0100,,XP
423818,FR-0100,,XP
424119,SJ-0500,JJ-1800,FG
425910,GJ-0100,MW-1700,FG
426014,BT-0600,,XP
426401,II-0100,,XP
428035,CL-1900,,FG
430875,RA-1600,,XP
431766,GH-0300,,PUNT
432747,AW-1500,GT-0300,FG
435361,RJ-0800,RM-3100,PUNT
435585,BP-0900,SC-0900,FG
437573,DC-4700,KW-1200,PUNT
437633,PD-0100,,FG
438322,YB-0100,,FG
438361,ES-1100,EW-0100,PUNT
438505,JP-2000,,FG
438585,DZ-0200,TM-1000,PUNT
438958,SF-0800,,FG
440710,PC-0300,BS-3200,PUNT
440751,PC-0300,KA-1000,FG
441182,TW-0600,,FG
442453,RC-0800,,PUNT
442464,BM-3800,HE-0200,PUNT
443312,CT-0600,,FG
443641,JH-0300,,FG
445246,BB-0600,,FG
449023,NS-0300,,PUNT
449335,KR-0500,,FG
450265,II-0100,,XP
451855,JR-0300,MS-3500,FG
452000,WG-0500,RM-1600,PUNT
453697,BC-1700,,XP
456908,TT-1000,CW-1200,FG
458947,CT-0600,DC-3200,FG
458958,KC-2400,ET-0200,PUNT
459690,DR-2800,,FG
460476,JF-2500,,FG
460690,SR-1000,,FG
461911,TS-2000,TS-2700,PUNT
468846,CT-0600,,FG
476199,BO-0400,LF-0300,FG
476702,JM-3600,IT-0200,PUNT
477615,CC-0200,,FG
477786,TB-2400,,FG
479093,JW-1100,,FG
482263,GS-0900,KB-2100,FG
482643,JP-2000,NR-0300,FG
483464,KD-1600,CA-0900,FG
483784,DM-0200,JJ-5000,FG
485056,PR-0400,,XP
486001,TS-1400,CF-0500,PUNT
487662,NC-0200,,FG
488272,AC-0500,,FG
489525,RB-4300,KW-2500,FG
489633,RB-4300,,FG
491529,RQ-0200,,PUNT
492193,PB-0100,JM-2800,PUNT
492709,SJ-0500,,FG
494680,AS-3100,,FG
495439,CC-0200,,FG
497397,AH-2300,,XP
499345,CC-2500,LH-1500,PUNT
499856,LG-0900,,FG
500263,CC-0200,,FG
500306,PP-0400,,FG
502409,JA-1500,DC-0100,FG
502547,RB-4300,,FG
502629,RB-4300,,XP
504521,CH-3100,RC-1300,FG
505898,PR-0400,,FG
507318,JW-5100,NA-0100,PUNT
507604,DB-5200,,XP
508034,II-0100,,FG
508353,AC-0500,,XP
508655,JP-2900,,FG
508671,DB-0500,MR-1500,PUNT
508934,KO-0800,ZP-0300,PUNT
510622,NS-0800,,FG
513192,RS-0900,MG-0800,FG
513269,RS-0900,AB-1100,FG
513727,HF-0100,CJ-2300,PUNT
514142,DL-0200,,FG
515962,JP-2000,,FG
516509,PP-0400,,FG
517945,BJ-2100,,FG
519655,MW-3300,CR-1200,PUNT
520371,AT-0100,AC-1500,PUNT
520413,CC-0200,,FG
521177,DR-3200,CL-1900,PUNT
522687,QG-0400,,PUNT
