pid,type,bc,psr,trg,conv
278873,PASS,,PR-0300,VJ-0100,1
280859,PASS,,TB-2300,RC-0100,1
281822,PASS,,MB-4800,IB-0200,0
285109,PASS,,ML-1000,AB-2000,0
285775,PASS,,DC-0700,WL-0200,1
287024,PASS,,MH-1600,JS-6400,1
287868,PASS,,TB-2300,TB-3300,1
290465,PASS,,,,0
290722,PASS,,JH-1700,MB-2800,1
293446,PASS,,TJ-0300,TT-0400,0
293607,RUSH,TB-0400,,,0
293617,PASS,,JG-0600,LS-1000,1
297937,PASS,,JK-1500,MW-2700,0
298117,RUSH,QG-0200,,,0
300030,PASS,,TG-1600,KW-2000,1
300216,PASS,,MH-1600,DB-3600,0
301215,RUSH,KF-0200,,,1
301528,PASS,,PM-0200,MH-1200,1
302351,PASS,,JC-6200,JW-0400,0
303608,PASS,,JK-1500,SM-1400,0
303918,PASS,,,,0
304085,RUSH,RJ-1800,,,1
306536,PASS,,JM-2900,RC-3100,1
307667,RUSH,RB-3900,,,1
308467,RUSH,KW-0800,,,0
311850,PASS,,GF-0400,TH-2300,1
312475,PASS,,JC-0500,CC-4300,1
313871,PASS,,TR-0800,TO-0200,0
314218,RUSH,SG-0100,,,1
315336,PASS,,,,0
316176,PASS,,AB-2000,LF-0200,0
316326,RUSH,RB-4900,,,1
316978,PASS,,TD-1400,AB-0800,0
317125,PASS,,JG-0600,AB-1100,0
317264,PASS,,SR-1200,AD-0400,1
317456,PASS,,DH-4300,DB-3200,0
317644,PASS,,CP-0900,LW-0500,1
321137,RUSH,PH-0600,,,1
321795,PASS,,JC-0500,AR-0200,1
321980,PASS,,DA-1300,BE-0200,0
322008,PASS,,DA-1300,JJ-5200,1
322936,RUSH,ML-2500,,,1
323095,PASS,,BR-1100,HW-0100,1
323683,PASS,,JC-0500,AR-0200,0
323728,PASS,,DM-2200,HB-0100,0
323774,PASS,,DM-2200,MS-0500,0
323904,RUSH,RB-4900,,,1
323925,PASS,,DB-3800,MC-2400,0
323942,RUSH,RB-4900,,,1
324619,PASS,,MS-0600,MW-1700,0
