pid,kicker,kgro,knet,ktb,kr,kry
112476,MG-1200,62,44,0,JW-0400,18
112507,MG-1200,63,43,0,JW-0400,20
112531,JW-3300,70,46,0,KW-0800,24
112551,JW-3300,63,36,0,KW-0800,27
112574,JW-3300,45,45,0,LJ-0100,0
112588,JT-4400,67,49,0,TW-2100,18
112604,JT-4400,71,41,0,TW-2100,30
112619,JT-4400,69,51,0,TW-2100,18
112632,JT-4400,70,50,1,,0
112668,JW-3300,53,53,0,WJ-0200,0
112690,MK-1100,64,45,0,TW-0400,19
112704,MV-0100,64,41,0,RD-1800,23
112735,MK-1100,68,43,0,TW-0400,25
112760,MV-0100,58,37,0,RD-1800,21
112769,MK-1100,64,40,0,TW-0400,24
112787,MV-0100,64,11,0,RD-1800,53
112794,MV-0100,40,26,0,DC-0800,14
112810,MK-1100,59,37,0,TW-0400,22
112843,MV-0100,43,18,0,MR-0400,25
112844,MK-1100,66,38,0,TW-0400,28
112855,DA-0300,67,44,0,JW-4600,23
112899,DA-0300,64,52,0,JW-4600,12
112908,DA-0300,58,25,0,JW-4600,33
112918,JC-2100,70,50,1,,0
112937,DA-0300,53,37,0,JW-4600,16
112944,JC-2100,67,42,0,BM-3300,25
112960,JC-2100,59,34,0,BM-3300,25
112969,DA-0300,64,39,0,JW-4600,25
112982,DA-0300,56,38,0,JW-4600,18
112989,JC-2100,60,3,0,BM-3300,57
112994,DA-0300,66,45,0,JW-4600,21
113042,JT-4400,66,36,0,WD-0300,30
113087,BC-3000,65,42,0,KW-0800,23
113094,JT-4400,60,45,0,WD-0300,15
113106,BC-3000,52,37,0,RC-0800,15
113116,JT-4400,49,32,0,BN-0500,17
113123,BC-3000,59,33,0,KW-0800,26
113130,JT-4400,59,43,0,WD-0300,16
113144,BC-3000,55,38,0,RC-0800,17
113181,BC-3000,64,49,0,RC-0800,15
113193,BC-3000,62,30,0,RC-0800,32
113214,JH-0900,69,45,0,DB-3600,24
113225,AV-0400,59,47,0,ED-0900,12
113229,AV-0400,58,51,0,ED-0900,7
113254,JH-0900,70,7,0,DB-3600,63
113289,AV-0400,64,44,1,,0
113302,JH-0900,72,50,0,DB-3600,22
113304,AV-0400,70,47,0,ED-0900,23
113332,JH-0900,66,46,0,DB-3600,20
113347,AV-0400,65,30,0,,0
113358,JH-0900,63,51,0,DB-3600,12
113381,OM-0100,62,42,0,CR-1500,20
113391,OM-0100,64,45,0,CR-1500,19
113404,MH-3100,60,45,0,TM-2800,15
113417,OM-0100,65,30,0,,0
113448,MH-3100,70,54,0,TM-2800,16
113464,MH-3100,54,39,0,RK-0800,15
113466,MH-3100,61,47,0,TM-2800,14
