pid,fum,frcv,fry,forc
467612,BR-1100,NH-0600,0,
467635,MB-1800,MA-1400,0,DW-1300
467721,JS-3700,SB-1400,0,
467722,BM-0900,BM-0900,0,
467772,SM-1700,SM-1700,0,
467790,MA-1400,KR-0500,0,
467826,RF-0500,JM-1900,0,GG-0700
467899,CS-3400,DF-1000,0,JM-1900
467909,RF-0500,EM-1500,0,DM-1300
467929,CS-3400,CS-3400,0,
467948,CS-3400,SB-1600,0,
467967,LT-0600,BM-3500,0,AA-0100
467969,SH-1300,CH-1600,0,TJ-1000
468112,MC-1900,MC-1900,0,
468153,MM-1300,JM-2400,9,CC-0700
468230,JF-1900,,0,JH-0100
468242,ER-0100,LW-0700,0,
468259,MC-0700,JC-2300,0,
468287,KC-2000,CJ-1700,0,
468320,TJ-2700,BA-0200,0,AV-0300
468419,TJ-2700,CH-3800,0,JJ-4300
468445,DB-0100,TS-2600,0,
468460,TS-2600,TS-2600,0,
468461,DA-0900,ES-0800,0,TG-0700
468465,SB-1100,ML-0500,5,PW-1200
468494,TS-2600,AD-0600,0,JH-0300
468555,TS-2600,BW-1000,0,JH-0300
468583,AS-1600,FR-0100,0,CL-1400
468601,DB-1800,LJ-0800,0,AP-0200
468619,RI-0100,CH-2400,0,
468700,PC-0600,JA-1300,0,RP-0900
468717,DB-1800,DB-1800,0,
468760,CH-2400,PM-0600,0,NS-0800
468782,JF-3100,JF-3100,0,LT-0100
468810,LB-0500,JZ-0300,0,ET-0200
468844,JZ-0300,JF-3100,0,
468871,MS-3900,MS-3900,0,
469005,DG-0600,EM-1300,0,RJ-0400
469013,DG-0600,DG-0600,0,LF-0300
469217,CJ-1600,MM-3800,0,BE-0300
469270,JG-0100,RH-1000,0,BP-0900
469291,ED-0200,DB-5100,0,XA-0100
469311,LB-0100,LB-0100,0,
469317,MS-0200,DW-0900,0,
469376,TT-0700,TT-0700,0,
469478,JN-0900,JT-3800,0,AR-1400
469502,AB-2600,AB-1600,0,CW-3700
469530,BJ-0600,NC-0700,0,CM-0900
469533,AR-1300,JK-2200,0,
469581,MT-1300,VJ-0100,0,
469601,MT-1300,RW-3100,1,RN-0300
469631,CB-1400,ON-0100,0,AA-1400
469775,TM-1500,JV-0500,0,
469826,MT-2400,MM-3600,0,JC-2400
469949,AP-0700,QM-0200,0,
469970,MV-0300,AW-1800,45,AW-1800
470011,MV-0300,JA-0900,0,KW-1400
470076,MG-1000,JK-1200,0,
470086,MT-2400,CW-3000,0,JA-1700
470111,MG-1000,MP-1000,0,TD-0900
470151,JC-3100,BL-0100,0,
470160,MR-2500,TC-1400,0,EN-0100
470191,AE-0500,AE-0500,0,
470326,CM-1500,CM-1500,0,BK-0300
470382,MB-1500,MB-1500,0,LT-0400
470405,TS-0700,JS-0500,0,BL-0500
470560,DD-2600,CT-1500,0,DM-2800
470641,AR-1300,BJ-0300,0,
470855,DR-1300,MG-1800,20,SM-0500
470857,KC-2000,RM-1400,1,
470871,DH-2800,DJ-1600,0,JB-2400
470895,JA-2000,BC-0500,0,
470951,JB-1700,JB-1700,0,
471059,DW-4300,PS-0600,0,KL-0200
471107,RW-2600,RN-1100,0,EM-1500
471241,RG-2300,JP-2900,0,OU-0100
471319,RG-2300,OU-0100,0,OU-0100
471330,SM-3600,KP-0600,0,JG-1900
471407,JS-3300,RL-0600,0,CC-0700
471408,DS-3600,CD-2200,0,RN-0300
471457,CP-0500,CP-0500,0,
471458,JS-3300,HN-0300,0,CC-0700
471507,CP-0500,RL-0600,0,
471657,ML-1500,TN-0600,0,GQ-0100
