pid,punter,pgro,pnet,ptb,pr,pry,pfc
125953,TT-1700,42,31,0,AM-1800,11,0
125957,BM-0700,75,54,0,DJ-0300,21,0
125964,TT-1700,27,27,0,,0,0
125972,BM-0700,39,32,0,KW-1100,7,0
125977,TT-1700,50,50,0,AM-1800,0,0
125984,BM-0700,40,40,0,,0,0
126017,BM-0700,47,47,0,,0,0
126024,TT-1700,32,19,0,LJ-1100,13,0
126032,BM-0700,38,18,1,,0,0
126069,TT-1700,61,41,1,,0,0
126119,MB-2100,40,30,0,CW-3200,10,0
126136,MB-2100,38,42,0,CW-3200,-4,0
126140,BL-0200,29,29,0,,0,0
126146,MB-2100,41,41,0,CW-3200,0,1
126155,MB-2100,51,41,0,CW-3200,10,0
126159,BL-0200,38,38,0,DB-2800,0,0
126170,MB-2100,64,60,0,CW-3200,4,0
126178,BL-0200,26,26,0,DB-2800,0,1
126182,MB-2100,56,43,0,CW-3200,13,0
126187,BL-0200,32,16,0,DB-2800,16,0
126219,BL-0200,32,29,0,DB-2800,3,0
126269,CM-2600,33,33,0,,0,0
126273,JB-3500,-10,-11,0,,0,0
126294,CM-2600,33,33,0,TW-2900,0,0
126389,CM-2600,35,35,0,,0,0
126405,CM-2600,28,28,0,,0,0
126410,CM-2600,40,20,1,,0,0
126416,HS-0200,43,32,0,SM-3600,11,0
126461,HS-0200,39,39,0,,0,0
126470,MT-2300,36,36,0,,0,0
126475,HS-0200,32,32,0,,0,0
126500,HS-0200,26,26,0,,0,0
126504,MT-2300,23,23,0,,0,0
126509,HS-0200,31,31,0,SM-3600,0,0
126566,TR-0900,36,25,0,DN-1400,11,0
126571,CG-0300,37,37,0,AR-0200,0,1
126580,TR-0900,27,27,0,DN-1400,0,1
126587,CG-0300,42,32,0,AR-0200,10,0
126594,CG-0300,41,41,0,AR-0200,0,0
126607,CG-0300,35,-31,0,AR-0200,66,0
126615,CG-0300,40,20,1,,0,0
126619,TR-0900,34,34,0,DN-1400,0,1
126643,TR-0900,37,-22,0,DN-1400,59,0
126652,TR-0900,39,39,0,DN-1400,0,1
126705,TR-0900,39,39,0,DN-1400,0,1
126712,CG-0300,35,34,0,AR-0200,1,0
126732,CG-0300,40,40,0,AR-0200,0,1
126765,MA-0500,32,32,0,CW-3200,0,1
126772,BL-0200,48,41,0,DJ-3100,7,0
126790,BL-0200,46,31,0,DJ-3100,15,0
126816,MA-0500,49,49,0,CW-3200,0,0
126850,BL-0200,46,35,0,DJ-3100,11,0
126873,MA-0500,29,29,0,VS-0300,0,1
126882,MA-0500,46,46,0,VS-0300,0,1
126930,CM-2600,37,37,0,,0,0
126936,LJ-1000,60,54,0,AR-1700,6,0
126947,CM-2600,42,42,0,BM-3300,0,1
126961,CM-2600,41,41,0,BM-3300,0,0
126994,LJ-1000,43,42,0,AR-1700,1,0
127009,LJ-1000,32,32,0,,0,0
127013,CM-2600,32,28,0,BM-3300,4,0
127042,LJ-1000,30,30,0,,0,0
127049,CM-2600,39,39,0,BM-3300,0,1
127075,LJ-1000,42,23,0,AR-1700,19,0
127097,TR-0900,21,21,0,,0,0
127127,TR-0900,31,31,0,,0,0
127153,CH-2900,28,28,0,AR-0200,0,1
127182,TR-0900,33,24,0,DM-0500,9,0
127197,TR-0900,29,29,0,,0,0
127201,CH-2900,13,13,0,,0,0
127217,CH-2900,34,34,0,,0,0
127246,TR-0900,37,37,0,DM-0500,0,1
127250,CH-2900,40,35,0,AR-0200,5,0
127255,TR-0900,40,20,1,,0,0
127301,MT-2300,39,39,0,DG-1800,0,1
127306,SL-0400,38,38,0,,0,0
127332,SL-0400,39,39,0,,0,0
127369,MT-2300,39,39,0,,0,0
127377,SL-0400,31,31,0,SM-3600,0,1
127454,BL-0200,14,14,0,,0,0
127521,TT-1700,51,51,0,,0,0
127547,BL-0200,52,52,0,,0,0
127551,TT-1700,52,21,0,VS-0300,31,0
127571,BL-0200,37,25,0,KW-1100,12,0
127575,TT-1700,39,14,0,VS-0300,25,0
127583,TT-1700,47,27,1,,0,0
127659,CH-2900,41,21,1,,0,0
127664,SL-0400,46,35,0,DM-0500,11,0
127683,SL-0400,35,35,0,DM-0500,0,1
127705,CH-2900,23,23,0,,0,0
127715,SL-0400,39,39,0,DM-0500,0,1
127754,CH-2900,32,32,0,,0,0
127798,LJ-1000,36,36,0,KW-1100,0,1
127808,LJ-1000,28,28,0,,0,0
127823,LJ-1000,64,64,0,,0,0
127828,TT-1700,36,36,0,,0,0
127868,TT-1700,49,39,0,BM-3300,10,0
127877,TT-1700,6,6,0,,0,0
127881,LJ-1000,31,31,0,,0,0
127885,TT-1700,39,39,0,BM-3300,0,0
127892,LJ-1000,32,32,0,KW-1100,0,0
127905,LJ-1000,38,34,0,KW-1100,4,0
127911,TT-1700,47,27,1,,0,0
127918,LJ-1000,50,42,0,KW-1100,8,0
127925,TT-1700,35,31,0,BM-3300,4,0
127946,TT-1700,42,22,0,BM-3300,20,0
127978,SL-0400,53,53,0,KW-1100,0,1
127982,TT-1700,40,32,0,DG-1800,8,0
127986,SL-0400,27,27,0,KW-1100,0,1
127993,TT-1700,43,26,0,DG-1800,17,0
128013,TT-1700,29,29,0,TB-2900,0,1
