pid,qtr,min,sec,dwn,yds,pts,player,type
67618,2,13,22,1,7,7,MA-0600,RUSH
67676,3,8,42,1,8,7,MA-0600,RUSH
67690,3,1,46,4,1,8,BM-0100,REC
67702,4,11,22,2,21,7,WD-0700,RUSH
67781,2,11,47,2,46,7,DS-3500,REC
67833,3,8,15,2,1,7,TS-3300,REC
67844,3,3,8,2,3,7,DA-0600,REC
67898,1,12,46,1,56,7,DB-2800,INT
67920,1,3,37,3,19,7,MF-0300,REC
67971,3,13,30,1,45,7,TH-2300,REC
67991,3,6,7,1,9,7,MF-0300,REC
68027,4,6,32,3,65,7,MF-0300,REC
68084,2,13,57,3,5,7,OA-0300,REC
68103,2,7,45,2,30,7,JB-7900,INT
68168,3,4,24,1,40,7,MP-1500,REC
68173,3,2,33,1,9,7,OA-0300,RUSH
68177,3,1,34,1,57,7,MH-1200,REC
68185,4,13,44,3,5,6,QI-0100,REC
68220,4,1,47,1,47,7,RW-4100,INT
68265,1,0,30,1,3,7,JS-6500,RUSH
68379,4,5,37,2,1,7,LJ-1100,RUSH
68445,2,9,25,4,11,7,TY-0200,BLPU
68560,4,0,15,2,6,7,CD-1500,REC
68584,1,12,7,1,1,7,EG-0200,RUSH
68603,1,5,34,2,43,7,DM-0500,REC
68633,2,6,2,2,10,7,KJ-0600,REC
68669,3,8,11,2,5,7,DB-1700,REC
68678,3,6,3,2,71,7,DM-0500,REC
68728,4,1,27,1,20,8,KJ-0600,REC
68827,3,6,45,2,4,7,DC-1900,REC
68846,4,14,11,1,11,7,CC-1300,REC
68855,4,10,10,2,56,7,KM-2400,INT
68860,4,9,4,1,1,7,LS-1100,RUSH
68914,1,4,9,3,6,7,CW-1300,RUSH
68968,2,0,57,1,4,7,TS-2100,REC
69007,4,15,0,1,14,7,AC-2300,REC
69030,4,5,50,2,1,7,CW-1300,RUSH
69048,4,1,35,2,17,7,JH-5200,REC
69062,1,11,58,3,34,7,LC-0800,REC
69143,3,10,24,2,4,7,AS-2500,RUSH
69161,3,2,17,2,4,7,ME-0300,RUSH
69215,1,9,1,3,5,7,TB-2900,REC
69225,1,5,19,2,5,7,TJ-2700,RUSH
69252,2,9,53,2,1,7,MP-1300,RUSH
69303,3,8,22,1,1,7,ZC-0200,RUSH
69335,4,11,26,2,22,7,TB-2900,REC
69366,4,1,26,2,50,8,DB-3100,REC
69378,4,0,15,4,2,7,JR-2000,REC
69439,2,11,38,1,1,7,JB-3400,RUSH
69483,3,7,13,3,12,7,TE-0200,RUSH
69495,3,0,50,1,4,7,AZ-0100,RUSH
69517,4,6,44,1,80,7,MB-2000,REC
69527,4,3,28,3,12,6,RM-5000,REC
69557,1,7,33,3,1,7,SA-0600,RUSH
69644,3,6,22,3,1,7,LT-0600,RUSH
69724,1,7,54,1,5,7,ES-1000,RUSH
69810,3,1,48,4,1,7,TB-0200,RUSH
69833,4,6,32,3,64,7,RI-0200,REC
69857,4,0,59,2,15,7,RG-0400,REC
69892,2,15,0,1,1,7,GH-0900,RUSH
69910,2,8,51,3,23,7,TS-3400,REC
69960,3,2,55,1,17,7,TO-0200,REC
69991,4,4,56,2,3,7,FB-0200,RUSH
69997,4,3,13,3,13,7,PS-0500,RUSH
70075,2,7,18,3,29,7,EJ-1100,REC
70102,2,0,29,3,13,7,AG-1600,REC
70135,3,4,0,2,60,8,AB-0900,FUM
70141,3,2,46,2,43,7,BS-1100,REC
70146,3,1,4,2,1,7,BF-1100,REC
70189,4,1,38,2,6,7,BF-0100,RUSH
70230,2,15,0,1,2,7,ZF-0100,REC
70324,4,8,24,2,1,7,SD-0400,RUSH
70352,4,1,21,1,10,7,MJ-0700,REC
70367,1,8,50,3,1,7,MS-2900,RUSH
70380,1,2,49,2,12,7,WJ-0200,REC
70384,1,1,48,1,1,7,RW-2600,RUSH
70477,4,12,28,1,50,7,JH-5200,REC
70489,4,8,26,2,54,7,DM-0700,RUSH
70562,2,10,30,2,1,7,CW-1300,RUSH
70571,2,8,10,1,2,7,RH-3400,RUSH
70591,2,0,41,2,2,7,KM-0300,REC
70597,2,0,6,1,7,7,PP-1000,REC
70625,3,5,50,2,44,6,BS-3300,INT
70657,4,8,3,2,1,6,TH-1400,RUSH
70708,1,1,59,3,17,7,JS-4400,REC
70753,2,1,15,1,9,7,CD-1500,RUSH
70800,4,14,32,3,11,7,KM-0900,REC
70885,2,10,43,1,2,7,MR-1000,REC
70933,3,6,36,1,1,7,ES-1000,RUSH
70957,4,12,54,1,3,7,JH-1800,REC
70998,1,10,35,3,3,7,AF-1300,REC
71063,3,13,41,1,19,7,AT-0500,RUSH
71092,3,3,6,1,12,7,AG-1600,RUSH
71150,1,8,12,2,13,7,EG-0200,RUSH
71186,2,7,45,2,6,7,BC-0800,REC
71205,2,0,46,2,20,7,JR-0900,REC
71215,3,12,44,1,31,7,MB-2000,RUSH
71223,3,10,40,1,38,7,DC-1400,REC
71250,4,14,13,2,15,7,DM-0500,REC
71262,4,7,58,1,10,7,MB-2000,RUSH
71283,4,3,7,1,9,7,FW-1100,REC
71287,4,2,47,2,73,7,RM-5000,REC
71329,1,1,12,1,49,7,CF-1500,INT
71342,2,9,57,1,1,7,AS-2500,RUSH
71361,2,3,45,4,85,7,TB-3300,PR
71446,4,2,49,1,5,7,AS-2500,RUSH
71473,1,7,35,2,10,7,PH-0600,RUSH
71486,1,2,0,1,6,7,TW-1600,RUSH
71493,2,15,0,1,67,7,PH-0600,REC
71500,2,12,40,3,5,7,RG-0200,RUSH
71536,2,0,48,2,8,7,JR-2000,REC
71552,3,11,54,4,88,7,TB-2900,PR
71618,4,1,44,2,24,6,TG-1300,REC
71634,1,10,53,1,1,7,CL-0900,REC
71642,1,8,58,3,61,7,JG-2800,REC
71653,1,5,57,3,49,7,BD-0700,FUM
71707,2,2,1,3,8,7,DS-3500,REC
71716,2,1,7,3,10,7,JG-2800,REC
71847,2,10,24,2,1,6,CF-1400,RUSH
71860,2,4,43,1,18,7,WC-0100,REC
71975,1,8,29,1,6,7,MF-0300,RUSH
71997,1,0,10,3,15,7,RP-1900,REC
72015,2,8,4,3,1,7,GH-0900,RUSH
72040,2,0,41,3,3,7,MF-0300,REC
72112,4,4,47,2,1,7,JG-0600,RUSH
72184,2,7,13,2,24,7,MA-0600,RUSH
72286,4,0,53,2,13,8,KJ-0700,REC
72317,1,3,16,3,11,7,DC-1900,REC
72364,2,1,10,2,24,7,DJ-0100,REC
72394,3,7,44,1,1,7,PH-0200,REC
72465,1,7,17,1,2,7,RL-1400,RUSH
72491,2,10,45,3,2,7,CC-1300,REC
72512,2,1,25,2,9,6,JF-1400,RUSH
72563,4,12,45,3,32,7,CC-1300,REC
72568,4,11,36,2,9,7,OG-0100,REC
72589,4,0,27,4,18,7,RK-0800,RUSH
72616,1,5,15,1,26,7,RD-1200,REC
72741,4,4,13,4,24,7,TM-2900,REC
72754,4,0,31,2,4,7,AT-0900,REC
72857,3,5,53,3,40,7,JR-2000,REC
73156,2,4,41,3,2,7,MB-2800,REC
73191,3,8,19,2,18,7,FB-0100,REC
73225,4,11,30,1,5,7,AT-0500,RUSH
73270,1,6,17,3,4,6,JS-4400,REC
73354,3,2,42,3,97,7,AH-2700,INT
73430,1,7,15,1,59,7,TL-1300,INT
73440,1,2,23,2,46,7,TC-1100,FUM
73446,1,1,0,1,1,7,MM-2800,RUSH
73519,3,7,21,1,66,7,RM-5000,REC
73534,3,1,57,3,13,7,RM-5000,REC
73550,4,10,40,2,1,7,CS-0800,RUSH
73595,1,9,40,1,11,7,DR-1300,RUSH
73626,2,10,54,1,1,7,MP-1500,REC
73635,2,7,59,2,3,7,BC-1100,RUSH
73642,2,5,11,1,12,7,KD-1000,REC
73654,2,1,12,1,18,7,BF-0400,REC
73661,2,0,25,1,19,7,TI-0100,REC
73714,4,11,12,1,11,7,DR-1300,RUSH
73721,4,9,36,2,11,7,TM-0600,REC
73778,1,3,27,1,12,7,PH-0600,RUSH
73797,2,9,37,3,11,7,RS-2100,REC
73835,3,10,43,2,24,7,DA-0600,REC
73848,3,5,16,1,4,7,GF-0400,RUSH
73952,1,2,0,2,1,7,CD-1500,RUSH
74022,3,2,3,1,3,7,CD-1500,RUSH
74035,4,12,53,3,1,6,JD-1200,REC
74049,4,7,4,3,2,6,AB-1100,REC
74085,1,8,49,2,2,7,KB-0300,RUSH
74104,1,0,7,3,12,7,EJ-0900,REC
74165,3,0,56,3,1,7,KB-0300,RUSH
74220,1,10,20,2,1,7,RW-1000,RUSH
74351,4,6,43,2,7,7,SA-0600,RUSH
74354,4,6,27,1,38,7,IC-0100,INT
74408,1,1,22,3,7,7,DD-2600,REC
74420,2,11,35,1,4,6,MG-1600,REC
74440,2,2,43,1,35,7,DM-0500,REC
74501,4,14,47,1,22,6,SH-0900,RUSH
74514,4,7,22,2,16,7,BS-1100,REC
74594,2,7,37,3,4,7,FM-0500,REC
74637,3,8,37,1,62,7,TP-1500,REC
74726,2,14,56,1,2,7,EG-0600,RUSH
74755,2,2,0,1,25,7,PB-1000,REC
74815,4,9,20,3,90,6,BS-1700,REC
74823,4,6,47,3,14,7,QI-0100,REC
74834,4,3,9,3,4,7,DK-1100,RUSH
74848,4,1,20,2,5,7,BS-4100,REC
74872,1,5,51,1,4,7,TS-2100,REC
74883,1,0,29,3,6,7,IB-0200,REC
74899,2,9,35,3,11,7,IB-0200,REC
74921,2,2,0,3,6,7,JH-5200,REC
74932,2,0,32,1,4,7,MF-0300,REC
74949,3,10,14,2,40,7,IB-0200,REC
74963,3,3,51,3,28,7,WJ-0200,REC
75062,2,15,0,1,2,7,AS-2500,RUSH
75073,2,11,11,2,23,7,PP-0300,REC
75185,4,1,32,2,10,7,JO-0400,REC
75298,3,2,0,3,30,7,KD-1900,REC
75308,4,14,18,3,4,7,RW-2900,REC
75487,4,6,57,3,32,7,TO-0200,REC
75552,2,13,28,1,24,7,RM-3000,INT
75558,2,11,52,1,45,7,RS-3500,REC
75577,2,4,55,3,1,7,MP-1300,RUSH
75682,1,8,26,1,1,7,MS-2900,RUSH
75687,1,7,7,2,15,7,SB-1900,RUSH
75724,2,6,28,2,7,7,BS-3300,INT
75768,3,5,53,1,68,6,SB-1900,RUSH
75777,3,1,50,2,63,7,TM-0600,REC
75789,4,12,11,2,49,7,AC-2700,REC
75826,4,0,51,3,3,7,EM-1800,REC
75880,2,13,40,2,4,7,TA-0500,RUSH
76015,1,12,55,2,27,7,IB-0300,REC
76040,1,2,14,3,6,7,RP-1900,REC
76078,2,2,11,2,4,7,MF-0300,RUSH
76125,3,3,34,1,70,7,MF-0300,RUSH
76135,3,0,11,1,4,7,RH-3400,RUSH
76152,4,8,50,2,4,7,EC-0400,REC
76165,4,5,5,1,0,6,CC-4900,ORCV
76192,1,11,14,3,1,6,BF-1100,REC
76205,1,5,3,2,4,7,BF-1100,REC
76240,2,7,12,3,3,7,JW-2500,REC
76258,2,0,57,1,69,7,TW-2900,INT
76300,4,12,45,2,16,7,DL-1100,REC
76355,1,7,2,3,3,7,JD-3200,REC
76362,1,4,27,2,3,7,FJ-0500,REC
76438,3,1,8,2,4,7,CC-4100,REC
76482,4,0,52,2,1,7,TR-0300,RUSH
76506,1,8,46,1,3,7,SM-0100,RUSH
76596,3,0,44,3,10,7,KM-0900,REC
76625,4,2,17,3,2,7,SM-0100,RUSH
76661,1,5,52,3,29,7,SA-0600,RUSH
76669,1,3,2,1,31,7,RD-0700,RUSH
76700,2,6,2,2,13,7,MS-5300,FUM
76709,2,3,33,1,0,7,JR-0200,FUM
76730,3,13,1,2,16,7,SA-0600,REC
76802,4,0,24,3,7,7,IH-0100,REC
76810,1,14,43,3,27,7,JG-1300,FUM
76821,1,10,0,3,10,7,DS-2300,REC
76838,1,2,47,2,4,7,MC-3200,REC
76848,2,13,41,3,2,6,KS-2300,RUSH
76871,2,3,29,2,5,7,HW-0100,REC
76885,2,0,41,3,1,7,DS-2300,REC
76905,3,8,49,1,19,7,PB-1000,REC
76957,4,1,15,3,5,7,TM-0200,RUSH
76967,1,14,1,2,14,7,KW-1100,REC
76976,1,10,17,2,1,7,MA-0600,RUSH
77036,2,1,18,2,17,7,WD-0700,REC
77065,3,8,16,2,11,7,JH-5200,REC
77085,4,15,0,2,16,7,BW-1850,REC
77097,4,9,12,3,4,7,DM-3000,REC
77111,4,5,24,1,10,7,JH-5200,REC
77122,4,2,13,3,36,8,RB-0700,INT
77153,1,4,43,2,3,7,SD-0400,RUSH
77169,2,15,0,1,32,7,LJ-1100,RUSH
77259,4,10,1,4,27,7,BU-0200,REC
77334,2,15,0,1,25,7,LJ-1500,REC
77348,2,10,36,2,46,7,DR-1300,RUSH
77400,3,7,42,1,28,7,MP-1500,REC
77432,4,10,8,3,39,8,MH-1200,REC
77459,4,1,2,1,6,7,AB-1100,REC
77509,2,14,7,2,14,7,TT-0400,REC
77544,2,3,11,1,1,7,BJ-1400,RUSH
77631,4,1,48,2,32,6,MA-0600,RUSH
77638,1,14,13,2,25,7,RM-3000,FUM
77691,2,12,46,1,61,7,DB-3100,REC
77699,2,9,50,3,5,7,DB-3100,REC
77715,2,2,45,3,7,7,DH-2200,REC
77829,1,6,32,2,42,7,PB-1000,REC
77840,1,2,49,1,28,7,PB-1000,REC
77871,2,4,54,4,10,7,RB-1600,FUM
77923,3,3,54,3,37,6,CF-1400,REC
77971,4,2,51,3,6,7,RD-2100,REC
77986,4,0,45,1,18,6,DF-0200,REC
78054,2,10,16,1,6,7,JG-0600,RUSH
78066,2,4,52,1,2,7,DC-1500,REC
78088,2,0,17,1,7,7,JS-6900,REC
78102,3,10,17,3,1,7,QC-0100,RUSH
78114,3,5,57,1,47,7,JG-0500,REC
78168,4,0,42,3,3,7,JS-6900,REC
78223,2,7,57,1,6,7,CG-0400,REC
78238,2,1,59,2,5,7,BG-1900,RUSH
78264,3,6,13,1,1,7,JB-5600,REC
78292,4,10,6,1,12,7,RS-2100,REC
78337,1,12,25,1,28,7,DB-1000,REC
78355,1,5,1,3,20,7,DT-0500,REC
78489,4,2,20,2,39,7,WH-0200,INT
78564,2,3,27,1,31,7,DD-2600,RUSH
78629,4,10,3,3,47,7,BC-0800,REC
78638,4,6,28,1,4,7,AG-1600,RUSH
78643,4,5,25,3,38,7,MM-2700,INT
78669,1,12,51,3,6,7,PH-0600,RUSH
78680,1,8,24,2,3,7,SM-0100,RUSH
78713,2,10,43,1,3,7,MB-4500,RUSH
78726,2,5,42,1,1,7,TG-1300,REC
78779,3,3,34,1,12,7,TG-1300,REC
78793,4,13,25,2,20,7,KM-0900,REC
78850,1,9,6,1,2,7,MS-2900,RUSH
78869,1,1,7,2,26,7,BM-0200,INT
78910,2,1,10,1,17,7,TM-2800,REC
78918,2,0,11,2,2,7,OG-0100,REC
78966,4,9,33,1,1,7,DR-0100,REC
79061,2,0,24,2,5,7,LC-0400,RUSH
79075,3,11,22,3,22,7,PP-1000,REC
79162,1,8,54,3,5,7,CL-0900,REC
79230,3,12,45,1,60,7,AT-0900,REC
79270,4,14,19,1,57,7,JT-2800,REC
79298,4,2,48,1,16,8,RD-0700,RUSH
79307,4,1,53,1,7,7,CL-0900,REC
79341,1,7,59,2,4,7,CC-4100,REC
79372,2,12,8,1,43,7,DJ-0100,REC
79385,2,7,27,1,48,7,DJ-0100,REC
79431,3,6,30,2,37,8,JW-4000,REC
79505,1,9,33,3,1,7,MF-0300,RUSH
79520,1,4,30,2,1,7,DR-1300,RUSH
79532,2,14,25,1,4,7,MF-0300,RUSH
79541,2,9,49,2,1,7,PM-0200,RUSH
79545,2,8,50,1,21,7,TH-2300,REC
79561,2,1,50,3,5,7,MF-0300,REC
79572,2,0,35,1,46,7,TH-2300,REC
79611,4,13,26,2,1,7,MF-0300,RUSH
79650,1,10,24,3,33,7,JD-1100,REC
79662,1,5,4,3,13,7,MG-1600,RUSH
79667,1,4,29,2,20,7,OS-0100,REC
79676,1,1,6,2,40,7,KD-1900,REC
79703,2,5,5,2,59,7,DM-0500,REC
79713,2,1,55,3,1,7,JW-2500,RUSH
79734,3,9,3,2,7,7,EG-0200,RUSH
79757,4,14,49,1,20,7,EG-0200,RUSH
79769,4,9,25,1,2,7,JW-2500,RUSH
79779,4,5,40,3,4,7,KJ-0600,REC
79814,1,8,44,1,22,7,DM-0700,REC
79836,2,14,20,1,6,7,SD-0400,RUSH
79894,3,6,55,3,2,7,TB-0200,RUSH
79909,3,0,27,3,2,7,KC-0600,RUSH
79940,4,2,36,3,1,7,KC-0600,RUSH
79967,1,8,8,3,46,7,TL-0500,INT
80043,3,8,47,4,68,7,TB-3300,PR
80059,3,1,38,2,32,7,AS-2500,RUSH
80079,4,10,43,3,5,7,JW-3000,REC
80097,4,5,59,2,76,7,OS-0800,INT
80183,2,1,21,2,2,7,LJ-1100,RUSH
80207,3,10,23,2,9,7,DT-0500,REC
80216,3,7,6,1,15,6,KM-0900,REC
80250,4,7,41,3,2,7,AT-0500,RUSH
80262,4,3,56,1,3,7,JS-4400,REC
80314,2,13,33,2,2,7,ES-1000,RUSH
80324,2,9,3,2,20,6,DS-2300,REC
80408,4,5,43,1,16,6,JM-6400,REC
80469,2,15,0,2,1,7,DC-1900,REC
80495,2,4,26,3,20,7,MH-1200,REC
80556,4,15,0,1,43,7,MH-1200,REC
80637,2,10,45,2,6,7,LS-1100,RUSH
80682,3,5,34,2,12,7,LC-0400,REC
80699,4,13,37,2,16,7,JM-3500,REC
80713,4,8,14,3,18,7,JF-1400,RUSH
80744,4,0,9,3,100,7,BM-0200,INT
80765,1,6,29,1,56,7,TO-0200,REC
80776,1,3,0,2,60,7,TO-0200,REC
80798,2,8,27,1,6,7,TJ-0400,REC
80857,4,15,0,1,6,7,JS-6900,REC
80872,4,7,52,2,9,7,TJ-0400,RUSH
80898,1,11,11,1,26,7,BS-1100,REC
80906,1,8,41,2,25,7,AG-1600,RUSH
80918,1,3,50,3,8,7,IH-0100,REC
80984,3,12,12,1,1,7,AG-1600,RUSH
81007,3,4,44,3,54,7,CB-2500,REC
81028,4,12,51,3,10,7,TB-0400,RUSH
81056,4,2,54,3,1,8,RD-0700,RUSH
81069,1,14,11,1,40,7,LC-0800,REC
81106,2,11,21,2,3,6,TW-1600,RUSH
81130,2,2,54,4,4,7,JG-1600,BLPU
81140,2,1,2,2,18,7,RW-2900,REC
81159,3,10,50,3,46,7,LJ-1500,RUSH
81255,1,3,34,2,3,7,JW-2500,RUSH
81265,2,13,44,1,17,7,CF-1400,RUSH
81299,3,15,0,0,32,7,BG-0300,FUM
81335,3,0,17,3,40,7,BS-1700,REC
81353,4,7,37,3,21,7,RB-2500,RUSH
81429,2,4,48,1,12,7,DJ-0100,REC
81446,2,0,26,3,18,7,DJ-0100,REC
81459,3,12,15,2,1,7,MR-0800,REC
81497,3,0,47,1,44,7,SA-0600,RUSH
81537,4,0,54,2,1,8,TR-0300,RUSH
81572,1,0,55,3,12,7,RP-1900,REC
81599,2,5,25,2,15,7,EC-0400,REC
81649,3,3,26,1,3,7,MF-0300,RUSH
81651,3,3,23,0,96,7,DV-0200,KR
81658,3,0,13,1,8,7,RP-1900,REC
81704,1,9,23,1,41,7,DM-0500,REC
81730,2,15,0,2,6,7,SM-2400,RUSH
81752,2,6,32,1,2,7,CD-1500,RUSH
81768,2,1,24,1,34,7,CD-1500,RUSH
81815,3,1,4,2,35,7,DM-0500,REC
81875,1,10,56,3,61,7,AW-1500,INT
81910,2,9,6,1,4,7,TJ-2700,RUSH
81963,3,3,26,3,5,6,WR-0300,REC
81999,4,3,13,3,2,8,SD-0400,RUSH
82045,2,15,0,3,4,7,AS-3400,RUSH
82144,4,2,19,1,2,7,DD-2400,REC
82148,4,1,54,2,24,7,DD-2400,REC
82310,4,1,45,1,8,7,JS-1900,FUM
82379,2,0,26,3,2,7,TB-2900,REC
82393,3,11,42,2,17,7,WC-0100,REC
82425,4,15,0,2,2,8,ZC-0200,RUSH
82438,4,10,21,4,3,7,RA-1100,REC
82447,4,6,0,2,21,7,JR-2000,REC
82459,4,1,56,4,4,7,WC-0100,REC
82464,4,1,40,3,80,7,CG-0400,RUSH
82515,2,12,24,2,16,7,CL-0900,REC
82546,2,0,43,3,23,7,DS-3500,REC
82571,3,7,4,2,25,7,CB-4800,RUSH
82620,4,2,17,2,59,7,DM-2900,INT
82650,1,4,6,3,5,6,AF-1300,REC
82689,2,0,15,2,2,7,GH-0900,RUSH
82719,3,3,31,1,19,6,BF-1100,REC
82736,4,12,4,3,14,8,TS-3400,REC
82761,4,2,0,1,9,7,AG-1600,RUSH
82803,2,13,38,2,4,7,TA-0500,RUSH
82869,3,1,25,3,4,7,TT-0400,REC
82966,2,5,40,1,47,7,AM-1800,RUSH
82981,2,0,25,2,13,7,CM-0400,REC
82992,3,12,35,3,39,7,JA-3100,INT
83009,3,5,58,2,6,7,DS-3500,REC
83054,4,3,25,2,5,7,DM-2200,RUSH
83109,2,12,19,2,13,7,JJ-2200,REC
83204,4,7,57,2,6,7,TB-2300,RUSH
83274,1,4,36,2,1,7,AZ-0100,RUSH
83305,2,6,20,3,1,7,AZ-0100,RUSH
83349,3,7,38,4,88,7,JL-1600,PR
83371,4,14,18,1,32,7,PB-1000,REC
83428,1,9,18,2,29,7,AW-1300,INT
83444,1,2,43,3,22,7,AF-1300,REC
83452,2,15,0,2,4,7,TH-2300,REC
83459,2,12,41,2,4,7,JH-4500,REC
83506,3,9,49,1,7,7,MF-0300,RUSH
83514,3,8,22,2,34,7,TP-1700,INT
83550,4,8,0,1,32,7,AW-1300,INT
83557,4,5,49,2,8,7,AF-1300,REC
83605,1,3,55,4,55,7,TB-3300,PR
83652,2,1,5,1,11,7,DP-0500,REC
83681,3,9,11,4,84,7,TB-3300,BLFG
83692,3,5,32,2,1,7,JB-3400,RUSH
83704,3,1,33,1,11,7,AZ-0100,RUSH
83759,1,12,5,2,5,7,IB-0200,REC
83804,2,6,59,1,1,7,DS-3500,RUSH
83824,2,0,50,2,12,7,TP-1500,REC
83859,3,1,25,3,1,6,MF-0300,RUSH
83881,4,7,0,2,1,7,MF-0300,RUSH
83893,4,3,1,1,3,7,DM-2200,RUSH
83960,2,8,58,1,47,7,TL-0500,INT
83984,2,0,36,1,8,7,DP-0500,REC
84035,4,9,33,2,2,7,KW-0500,RUSH
84059,4,1,37,1,26,7,RP-1900,REC
84180,3,1,59,3,9,7,GH-0900,REC
84217,4,2,0,2,1,7,TB-0400,RUSH
84266,2,12,30,1,5,7,TH-1400,RUSH
84268,2,12,25,0,98,7,CM-3100,KR
84279,2,9,18,1,1,7,AB-1100,REC
84293,2,2,41,1,3,7,TH-1400,RUSH
84340,3,1,5,2,2,7,TH-1400,RUSH
84372,4,4,53,1,18,8,WC-0100,REC
84390,4,0,34,4,29,7,EM-1800,REC
84397,5,15,0,0,96,6,CM-3100,KR
84425,1,2,50,2,8,7,RJ-1600,REC
84432,1,0,42,1,20,7,WW-0100,REC
84577,1,1,10,3,29,7,MB-2800,REC
84587,2,13,37,3,2,7,DC-4400,RUSH
84624,2,1,1,1,33,7,RM-5000,REC
84681,4,6,15,2,1,7,AT-0500,RUSH
84699,4,0,35,1,9,7,DT-0500,REC
84737,1,1,23,2,1,7,JN-1700,REC
84775,2,0,23,2,1,7,LT-0600,RUSH
84796,3,8,50,3,9,7,CC-4100,REC
84824,4,9,19,3,1,7,TF-0700,RUSH
84869,1,8,30,3,17,7,TG-1300,REC
84896,2,12,27,1,43,7,DN-1400,REC
84904,2,8,48,2,5,7,PH-0600,RUSH
84912,2,5,46,1,33,7,QM-0500,REC
84947,3,7,14,1,4,7,AD-0400,REC
84983,4,9,18,1,26,7,PH-0600,RUSH
84989,4,8,12,1,15,7,PH-0600,RUSH
84996,4,6,1,1,44,6,QM-0500,REC
85004,4,3,11,2,7,6,PH-0600,RUSH
85041,1,3,57,3,7,7,RS-2100,REC
85098,3,14,9,2,3,7,MF-0300,RUSH
85151,4,6,3,1,23,7,EM-0500,REC
85200,2,11,33,2,2,7,MV-0300,RUSH
85209,2,8,47,2,3,7,WD-0700,RUSH
85218,2,5,54,3,3,7,DM-0300,REC
85231,2,1,20,2,2,7,AC-2700,REC
85247,3,12,52,1,2,7,RM-3600,RUSH
85273,3,0,34,1,13,7,JW-0400,REC
85290,4,8,13,2,2,7,WD-0700,RUSH
85306,4,1,16,4,1,7,WH-0600,RUSH
85365,1,2,42,2,6,7,QI-0100,REC
85385,2,7,38,2,8,7,PM-1100,REC
85405,2,0,43,3,40,7,MW-0800,INT
85436,3,5,26,3,18,7,PJ-0300,REC
85445,3,3,3,3,12,7,QI-0100,REC
85462,4,11,26,2,3,7,MH-1200,REC
85479,4,4,16,2,6,8,FT-0100,RUSH
85527,1,3,13,1,1,7,RW-2600,RUSH
85538,2,14,56,4,0,7,CC-1100,PR
85551,2,10,17,2,16,7,RM-3100,REC
85568,2,4,24,2,2,7,MM-2800,RUSH
85587,2,0,12,2,9,7,CC-1300,REC
85592,3,14,47,1,2,7,RW-2600,RUSH
85609,3,6,48,1,13,7,LW-0400,REC
85616,3,4,3,3,4,7,RE-0200,REC
85633,4,10,43,1,1,7,RE-0200,RUSH
85647,4,5,54,2,2,7,CS-0800,RUSH
85673,1,10,52,3,8,7,TB-2900,REC
85682,1,6,57,4,1,7,IM-0200,REC
85707,2,13,56,1,20,7,CG-0400,RUSH
85720,2,9,48,2,26,7,CG-0400,REC
85735,2,3,24,3,12,7,RJ-2400,RUSH
85810,4,5,50,1,11,7,SA-0600,REC
85881,2,4,17,3,32,7,BW-1850,REC
85913,3,11,39,2,4,7,KM-0900,REC
85921,3,8,46,2,41,7,DS-3600,REC
85974,4,2,47,3,11,7,JJ-5200,REC
86021,5,2,59,4,0,6,JA-0700,INT
86037,1,7,19,1,14,7,EG-0200,REC
86046,1,5,24,2,18,7,JT-2800,REC
86054,1,2,40,1,7,7,DS-3500,REC
86080,2,5,10,3,7,7,CL-0900,REC
86143,4,12,52,3,2,6,JM-2200,REC
86169,4,3,12,1,2,8,EG-0200,RUSH
86217,1,0,22,2,7,7,JP-3200,RUSH
86233,2,10,16,3,26,7,KL-1100,REC
86281,3,9,55,2,3,7,SD-0400,RUSH
86293,3,6,35,1,43,7,RG-0400,REC
86313,4,12,21,2,17,7,DT-1300,REC
86318,4,10,52,1,29,7,DB-3100,REC
86357,1,13,54,3,19,7,BM-2200,REC
86463,3,5,21,2,46,7,MW-1600,RUSH
86485,4,12,28,2,65,7,CB-2500,REC
86535,1,11,1,1,4,7,CF-0300,REC
86548,1,4,56,1,13,7,HW-0100,REC
86608,3,13,36,1,40,7,DH-2200,REC
86623,3,7,10,3,22,7,DB-3600,REC
86691,4,0,4,4,1,7,KS-2300,RUSH
86731,2,11,39,3,10,7,WD-0700,REC
86755,2,1,13,3,3,7,AT-0500,RUSH
86781,3,9,33,3,14,7,DT-0500,REC
86873,1,2,13,4,56,7,KW-1100,PR
86993,4,1,34,3,97,7,DB-4200,INT
87080,2,0,22,2,22,7,MM-5500,REC
87097,3,8,32,3,11,7,MM-2800,RUSH
87104,3,6,47,1,3,7,LS-1100,RUSH
87109,3,6,1,3,40,7,MM-3400,INT
87136,4,9,47,2,1,7,LS-1100,RUSH
87235,2,3,26,2,15,7,AD-0400,REC
87252,2,0,25,2,8,7,KJ-0600,REC
87314,4,6,34,1,22,7,CJ-1200,REC
87370,1,0,3,3,1,7,FW-1100,REC
87379,2,12,7,2,17,7,TM-2000,REC
87433,3,3,23,1,52,7,DC-2400,INT
87450,4,11,34,2,38,7,JG-0500,REC
87507,1,9,40,2,1,7,JF-1400,RUSH
87524,1,2,23,3,9,7,RK-0800,REC
87558,2,2,0,3,10,7,RW-2600,REC
87617,4,9,16,2,16,7,MH-1200,REC
87721,2,2,52,4,37,6,JS-4400,REC
