pid,fgxp,fkicker,dist,good
112506,XP,MG-1200,20,1
112550,XP,JW-3300,20,1
112559,FG,JT-4400,40,0
112573,FG,JW-3300,30,1
112587,XP,JT-4400,20,1
112618,XP,JT-4400,20,1
112631,XP,JT-4400,20,0
112651,FG,JT-4400,34,0
112667,XP,JW-3300,20,1
112703,FG,MV-0100,41,1
112734,XP,JE-0200,20,0
112768,XP,JE-0200,20,1
112786,XP,MV-0100,20,1
112793,XP,MV-0100,20,1
112809,XP,JE-0200,20,1
112842,FG,MV-0100,54,1
112854,FG,MV-0100,51,1
112881,FG,DA-0300,48,0
112898,XP,DA-0300,20,1
112907,XP,DA-0300,20,1
112917,XP,JC-2100,20,1
112936,XP,DA-0300,20,1
112959,FG,JC-2100,35,1
112968,XP,DA-0300,20,1
112981,XP,DA-0300,20,1
112988,XP,JC-2100,20,1
112993,FG,DA-0300,43,1
113081,FG,JT-4400,36,0
113086,XP,BC-3000,20,1
113093,XP,JT-4400,20,1
113105,FG,BC-3000,21,1
113115,XP,JT-4400,20,1
113129,XP,JT-4400,20,0
113143,XP,BC-3000,20,1
113161,FG,BC-3000,37,0
113179,XP,BC-3000,20,1
113192,FG,BC-3000,42,1
113224,FG,AV-0400,31,1
113228,XP,AV-0400,20,1
113252,FG,JH-0900,23,1
113288,XP,AV-0400,20,1
113301,FG,JH-0900,45,1
113331,FG,JH-0900,39,1
